11:50:05  Acquired tunnel connection to device.
20475   /private/var/containers/Bundle/Application/3AE48A85-92E1-4998-BC4C-1FBE50225E81/Maps.app/PlugIns/GeneralMapsWidget.appex/GeneralMapsWidget
20476   /Applications/Batteries.app/PlugIns/BatteriesAvocadoWidgetExtension.appex/BatteriesAvocadoWidgetExtension
20480   /System/Library/Frameworks/MapKit.framework/XPCServices/com.apple.MapKit.SnapshotService.xpc/com.apple.MapKit.SnapshotService
20481   /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
20524   /usr/libexec/tipsd
20581   /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Support/siriactionsd
20583   /System/Library/CoreServices/ShortcutsActions.app/Extensions/ShortcutsTopHitsExtension.appex/ShortcutsTopHitsExtension
20584   /System/Library/PrivateFrameworks/CallHistory.framework/Support/callhistoryd
20599   /System/Library/PrivateFrameworks/PerfPowerServicesReader.framework/XPCServices/PerfPowerTelemetryReaderService.xpc/PerfPowerTelemetryReaderService
20605   /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
20611   /System/Library/PrivateFrameworks/People.framework/peopled
20620   /Applications/PeopleViewService.app/PlugIns/PeopleWidget_iOSExtension.appex/PeopleWidget_iOSExtension
20632   /usr/libexec/safetycheckd
20640   /System/Library/Frameworks/Contacts.framework/Support/contactsd
20763   /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
20770   /System/Library/PrivateFrameworks/CloudTelemetry.framework/XPCServices/CloudTelemetryService.xpc/CloudTelemetryService
20782   /usr/libexec/bluetoothuserd
20850   /System/Library/PrivateFrameworks/UserActivity.framework/PlugIns/UASharedPasteboardiOSUI.appex/UASharedPasteboardiOSUI
20851   /usr/sbin/BTLEServer
20854   /Applications/CameraOverlayAngel.app/CameraOverlayAngel
20858   /private/var/containers/Bundle/Application/184418F3-E93D-4B5B-8718-17ECB550D0C9/Tips.app/PlugIns/TipsWidget.appex/TipsWidget
20866   /System/Library/Frameworks/ManagedSettings.framework/ManagedSettingsAgent
20868   /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
20869   /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/modelcatalogd
20870   /usr/libexec/triald
20871   /System/Library/ExtensionKit/Extensions/PCCAgentClientExtension.appex/PCCAgentClientExtension
20872   /System/Library/PrivateFrameworks/TrialServer.framework/XPCServices/TrialArchivingService.xpc/TrialArchivingService
20876   /Applications/AirDropUI.app/AirDropUI
20880   /System/Library/Frameworks/Security.framework/CloudKeychainProxy.bundle/CloudKeychainProxy
20881   /System/Library/PrivateFrameworks/CoreCDP.framework/cdpd
20882   /usr/libexec/appleidsetupd
20886   /System/Library/PrivateFrameworks/FaceTimeMessageStore.framework/facetimemessagestored
20887   /System/Library/PrivateFrameworks/ExchangeSync.framework/Support/exchangesyncd
20890   /Applications/InCallService.app/PlugIns/InCallActivitiesExtension.appex/InCallActivitiesExtension
20892   /Applications/MobilePhone.app/PlugIns/SpotlightIndexExtension.appex/SpotlightIndexExtension
20893   /System/Library/Frameworks/Speech.framework/XPCServices/localspeechrecognition.xpc/localspeechrecognition
20895   /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/intents_helper
20896   /System/Library/CoreServices/ReportSystemMemory
20899   /System/Library/PrivateFrameworks/AssetCacheServices.framework/XPCServices/AssetCacheLocatorService.xpc/AssetCacheLocatorService
20905   /System/Library/Frameworks/Security.framework/XPCServices/TrustedPeersHelper.xpc/TrustedPeersHelper
20909   /System/Library/PrivateFrameworks/ScreenTimeCore.framework/ScreenTimeAgent
20911   /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
20917   /usr/libexec/swcd
20920   /usr/libexec/fairplaydeviceidentityd
20927   /usr/libexec/pfd
20928   /usr/libexec/wifianalyticsd
20929   /private/var/containers/Bundle/Application/6E2E2551-60BB-4718-A57D-D9893AD11095/ivylove.app/PlugIns/notificationService.appex/notificationService
20931   /usr/libexec/mobileactivationd
20933   /System/Library/PrivateFrameworks/Message.framework/XPCServices/SearchIndexer.xpc/SearchIndexer
20934   /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
20935   /System/Library/CoreServices/CacheDeleteAppContainerCaches
20936   /usr/libexec/replayd
20941   /System/Library/PrivateFrameworks/MusicLibrary.framework/Support/medialibraryd
20942   /usr/libexec/sensorkitd
20943   /private/preboot/Cryptexes/App/usr/libexec/webbookmarksd
20944   /System/Library/PrivateFrameworks/MobileBackup.framework/MobileBackupCacheDeleteService
20945   /System/Library/PrivateFrameworks/SpaceAttribution.framework/spaceattributiond
20948   /Applications/StickerPickerService.app/StickerPickerService
20952   /System/Library/PrivateFrameworks/FitnessIntelligenceDaemonCore.framework/fitnessintelligenced
20953   /System/Library/PrivateFrameworks/FitnessIntelligenceDaemonCore.framework/XPCServices/FitnessIntelligenceSnapshotService.xpc/FitnessIntelligenceSnapshotService
20954   /private/preboot/Cryptexes/OS/System/Library/PrivateFrameworks/SafariFoundation.framework/XPCServices/CredentialProviderExtensionHelper.xpc/CredentialProviderExtensionHelper
20966   /usr/libexec/wifivelocityd
20975   /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
20992   /usr/libexec/countryd
20993   /usr/libexec/eligibilityd
21028   /usr/libexec/swtransparencyd
21029   /System/Library/PrivateFrameworks/CloudTelemetry.framework/XPCServices/CloudTelemetryService.xpc/CloudTelemetryService
21046   /Applications/ScreenContinuityShell.app/ScreenContinuityShell
21057   /Applications/LocalAuthenticationUIService.app/LocalAuthenticationUIService
21058   /System/Library/CoreServices/appplaceholdersyncd
21059   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/AudioConverterService
21063   /private/var/containers/Bundle/Application/4C1628AF-E5F0-4455-8B0B-20F798E87D55/Stocks.app/PlugIns/StocksWidget.appex/StocksWidget
21087   /usr/libexec/amfid
21088   /usr/libexec/misagent
21110   /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
21142   /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/com.apple.MobileAsset.DownloadService.Builtin
21143   /System/Library/PrivateFrameworks/StreamingZip.framework/XPCServices/com.apple.StreamingUnzipService.xpc/com.apple.StreamingUnzipService
21144   /usr/libexec/visioncompaniond
21168   /usr/libexec/tailspind
21172   /System/Library/PrivateFrameworks/MetricsKit.framework/XPCServices/AMPIDService.xpc/AMPIDService
21178   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
21179   /System/Library/Frameworks/FileProvider.framework/PlugIns/LocalStorageFileProvider.appex/LocalStorageFileProvider
21180   /System/Library/PrivateFrameworks/GenerationalStorage.framework/revisiond
21182   /usr/libexec/logd_helper
21183   /usr/libexec/textunderstandingd
21197   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
21198   /System/Library/ExtensionKit/Extensions/Notification.appex/Notification
21199   /System/Library/PrivateFrameworks/ThumbnailsBlastDoorSupport.framework/XPCServices/ThumbnailsBlastDoorService.xpc/ThumbnailsBlastDoorService
21206   /System/Library/Frameworks/Metal.framework/XPCServices/MTLCompilerService.xpc/MTLCompilerService
21207   /System/Library/Frameworks/Metal.framework/XPCServices/MTLCompilerService.xpc/MTLCompilerService
21209   /usr/libexec/splashboardd
21210   /private/var/containers/Bundle/Application/6FD5480A-5D74-4AA0-80E6-F0D891AC3532/Runner.app/PlugIns/FMWidgetExtension.appex/FMWidgetExtension
21212   /usr/libexec/metrickitd
21220   /System/Library/Frameworks/CoreLocation.framework/PlugIns/CoreLocationVanillaWhenInUseAuthPromptPlugin.appex/CoreLocationVanillaWhenInUseAuthPromptPlugin
21221   /System/Library/Frameworks/Metal.framework/XPCServices/MTLCompilerService.xpc/MTLCompilerService
21247   /Applications/SleepWidgetContainer.app/PlugIns/SleepWidgetExtension.appex/SleepWidgetExtension
21258   /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/XPCServices/MessagesBlastDoorService.xpc/MessagesBlastDoorService
21259   /usr/libexec/frauddefensed
21260   /usr/libexec/ciphermld
21262   /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AudioConverterService.xpc/AudioConverterService
21265   /System/Library/PrivateFrameworks/HealthAlgorithms.framework/XPCServices/DayStreamProcessorService.xpc/DayStreamProcessorService
21266   /System/Library/PrivateFrameworks/HealthAlgorithms.framework/XPCServices/HistoricalAnalyzerService.xpc/HistoricalAnalyzerService
21267   /System/Library/PrivateFrameworks/MediaMLServices.framework/XPCServices/mediamlxpc.xpc/mediamlxpc
21274   /usr/libexec/batterytrapd
21282   /private/var/containers/Bundle/Application/6F6B96D7-A931-463E-8B24-77008B750524/MobileCal.app/PlugIns/CalendarWidgetExtension.appex/CalendarWidgetExtension
21294   /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/XPCServices/com.apple.siri.embeddedspeech.xpc/com.apple.siri.embeddedspeech
21312   /System/Library/PrivateFrameworks/SiriAnalytics.framework/XPCServices/SAExtensionOrchestrator.xpc/SAExtensionOrchestrator
21313   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
21314   /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/IFTranscriptSELFIngestor
21315   /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/BiomeSELFIngestor
21316   /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/IFTelemetrySELFIngestor
21317   /System/Library/ExtensionKit/Extensions/AppleIntelligenceReportingSELFIngestor.appex/AppleIntelligenceReportingSELFIngestor
21318   /System/Library/ExtensionKit/Extensions/LLMCacheSELFIngestor.appex/LLMCacheSELFIngestor
21319   /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/GMSSELFIngestor
21407   /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/FindMyDeviceSharedConfigurationXPCService
21425   /Applications/PosterBoard.app/PosterBoard
21426   /System/Library/Frameworks/ExtensionFoundation.framework/XPCServices/extensionkitservice.xpc/extensionkitservice
21427   /System/Library/ExtensionKit/Extensions/AmbientPhotoFramePosterProvider.appex/AmbientPhotoFramePosterProvider
21428   /System/Library/ExtensionKit/Extensions/CollectionsPoster.appex/CollectionsPoster
21429   /System/Library/ExtensionKit/Extensions/MercuryPosterExtension.appex/MercuryPosterExtension
21430   /System/Library/ExtensionKit/Extensions/PhotosPosterProvider.appex/PhotosPosterProvider
21431   /System/Library/ExtensionKit/Extensions/ClockPosterExtension.appex/ClockPosterExtension
21432   /System/Library/PrivateFrameworks/AmbientUI.framework/PlugIns/InfographPoster.appex/InfographPoster
21461   /usr/libexec/batteryintelligenced
21464   /usr/libexec/remoted
21465   /usr/libexec/companion_proxy
21466   /usr/libexec/notification_proxy
21467   /usr/libexec/afcd
21510   /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
